Offer date,IPO name,Ticker,CUSIP,Rollup,VC,Dual,Pishares,Internet,CRSP permanent ID,Founding,,,
20000124,Neoforma.com Inc,NEOF,640475109,0,1,0,.,1,87574,1996,,"N=13,875 U.S. IPOs from Jan 1975-Dec 2021",
20000124,Regent Communications Inc,RGCI,758865109,1,2,0,.,0,87564,1996,,,
20000125,HealthGate Data Corp,HGAT,42222H106,0,0,0,.,1,87561,1994,,Rollup is a 0-1 dummy variable for whether the IPO was a rollup,
20000126,Extensity Inc,EXTN,302255104,0,1,0,.,0,87572,1995,,VC is a dummy with 1 for VC and 2 for a subset of VC that I call growth capital,
20000126,John Hancock Financial Svcs,JHF,41014S106,0,0,0,.,0,87536,1862,,Dual is a dummy for multiple share class IPOs,
20000126,T/R Systems Inc,TRSI,87263U102,0,1,0,.,0,87576,1991,,"Post-issue shares is listed only for dual class IPOs, and includes all share classes (basic, not fully diluted)",
20000127,724 Solutions Inc,SVNX,81788Q100,0,0,0,.,1,87569,1997,,,
20000127,Aspect Medical Systems Inc,ASPM,045235108,0,1,0,.,0,87571,1987,,SPAC IPOs are screened out,
20000127,NATCO Group Inc,NTG,63227W203,0,0,0,.,0,87539,1926,,,
20000127,Packaging Corp of America,PKG,695156109,0,0,0,.,0,87541,1965,,"Internet is a dummy with 1 if it is an internet-based  company, although in recent years I have not been updating this variable",
20000128,Caminus Corp,CAMZ,133766105,0,1,0,.,0,87559,1985,,Founding is the founding date of the company,
20000128,L90 Inc,LNTY,539441105,0,1,0,.,1,87563,1997,,,
20000128,ST Assembly Test Services Pte,STTS,85227G102,0,0,0,.,0,87568,1994,,Direct listings are included,
20000128,interWAVE Communications,IWAV,G4911N102,0,1,0,.,0,87562,1994,,,
20000201,IMPSAT Fiber Networks Inc,IMPT,45321T103,0,0,0,.,1,87610,1990,,This list of U.S. IPOs is missing IPOs with an offer price of below $5.00 before 1984,
20000201,Quantum Effect Devices Inc,QEDI,74764T107,0,1,0,.,0,87655,1991,,"In general, missing info is denoted as -9 or . or something else that should be obvious",
20000201,Sequenom Inc,SQNM,817337108,0,1,0,.,0,87632,1994,,"Jay Ritter, June 16, 2022",
20000201,SkillSoft Corp,SKIL,83066P101,0,1,0,.,1,87630,1998,,,
20000201,Telaxis Communications Corp,TLXS,879202109,0,1,0,.,0,87634,1982,,Please bring mistakes to my attention,
20000201,Turnstone Systems Inc,TSTN,900423104,0,1,0,.,1,87638,1998,,"Note that the post-issue number of shares for ADRs is freqently wrong, in that sometimes it is based on the number",
20000202,Centra Software Inc,CTRA,15234X103,0,1,0,.,1,87595,1995,,of ordinary shares and sometimes on the basis of the ADRs without adjusting for conversion ratios,
20000203,Alamosa PCS Holdings Inc,APCS,011593100,0,0,0,.,0,87585,1998,,,
20000203,Antigenics Inc,AGEN,037032109,0,0,0,.,0,87583,1994,,"In 2021-2022 over 120 corrections to dual class, founding dates, and VC-backing have been made based on input",
20000203,Avanex Corp,AVNX,05348W109,0,1,0,.,0,87588,1997,,,"from Martin Kenney and Don Patton on founding dates, VC-backing from Will Gornall and Ilya Strebulaev, "
20000203,Dobson Communications Corp,DCEL,256069105,0,0,1,93133416,0,87598,1990,,,and Laura Field and Michelle Lowry for dual class status
20000203,Mediacom Communications Corp,MCCC,58446K105,0,1,1,110000000,0,87618,1996,,,
20000203,Therma-Wave Inc,TWAV,88343A108,0,0,0,.,0,87639,1982,,"Information on offer prices, returns, and other information is available from commercial data providers",
20000204,Emerge Interactive Inc,EMRG,29088W103,0,1,1,32232902,1,87603,1994,,,"such as the new issues database of Eikon (also known as Refinitiv, Thomson-Reuters, and SDC) or Dealogic"
20000204,FirePond Inc,FIRE,318224102,0,1,0,.,1,87605,1983,,,
20000204,WorldQuest Networks Inc,WQNI,98156W105,0,1,0,.,1,87647,1996,,,
20000204,eOn Communications Corp,EONC,268763109,0,1,0,.,0,87604,1991,,,
20000207,Buy.com Inc,BUYX,124269101,0,1,0,.,1,87591,1997,,,
20000208,Fastnet Corp,FSST,311877104,0,1,0,.,1,87830,1994,,,
20000208,Landacorp Inc,LCOR,514756105,0,1,0,.,1,87615,1982,,,
20000208,Vicinity Corp,VCNT,925653107,0,1,0,.,1,87640,1995,,,
20000209,Cypress Communications Corp,CYCO,232743104,0,1,0,.,0,87597,1996,,,
20000209,Delano Technology Corp,DTEC,245701107,0,0,0,.,1,87650,1998,,,
20000209,Organic Inc,OGNC,68617E101,0,0,0,.,0,87624,1993,,,
20000209,Witness Systems Inc,WITS,977424100,0,1,0,.,0,87646,1988,,,
20000209,XCarenet Inc,XCAR,98388Y101,0,1,0,.,1,87648,1989,,,
20000210,Fargo Electronics Inc,FRGO,30744P102,0,0,0,.,0,87606,1979,,,
20000210,Lante Corp,LNTE,516540101,0,1,0,.,1,87616,1984,,,
20000210,Lightspan Partnership Inc,LSPN,532262102,0,1,0,.,1,87617,1993,,,
20000210,Pets.com Inc,IPET,71676K109,0,1,0,.,1,87654,1999,,,
20000210,Precis Smart Card Systems Inc,PCIS,740184106,0,0,0,.,1,87625,1994,,,
20000210,webMethods Inc,WEBM,94768C108,0,1,0,.,1,87644,1996,,,
20000211,Beasley Broadcast Group Inc,BBGI,074014101,0,0,1,24273441,0,87589,1961,,,
20000211,Flag Telecom Holdings Ltd,FTHL,G3529L102,0,0,0,.,1,87607,1993,,,
20000211,VIA NET.WORKS Inc,VNWI,925912107,0,1,0,.,1,87642,1997,,,
20000214,Diversa Corp,DVSA,255064107,0,1,0,.,0,87601,1992,,,
20000214,Savvis Communications Corp,SVVS,805423100,0,0,0,.,1,87633,1996,,,
20000214,Sunhawk.com Corp,SNHK,86737B104,0,0,0,.,1,87631,1992,,,
20000215,Chordiant Software Inc,CHRD,170404107,0,1,0,.,1,87649,1991,,,
20000215,Jeremy's Microbatch Ice Creams,JMIC,476319108,0,1,0,.,0,87613,1997,,,
20000215,LendingTree Inc,TREE,52602Q105,0,1,0,.,1,87636,1996,,,
20000215,Vantagemed Corp,VMDC,92208W106,0,1,0,.,0,87641,1995,,,
20000215,VarsityBooks.com Inc,VSTY,922300100,0,1,0,.,1,87643,1997,,,
20000215,b2bstores.com Inc,BTBC,11776S107,0,0,0,.,1,87590,1999,,,
20000216,Choice One Communications,CWON,17038P104,0,2,0,.,1,87596,1998,,,
20000216,Eloquent Inc,ELOQ,290140102,0,1,0,.,0,87651,1995,,,
20000216,Interactive Investor Intl PLC,IINV,457955102,0,0,0,.,1,87609,1995,,,
20000217,Apropos Technology Inc,APRS,038334108,0,1,0,.,0,87586,1989,,,
20000217,Gigamedia Ltd,GIGM,Y2711Y104,0,0,0,.,1,87608,1997,,,
20000217,Inforte Corp,INFT,45677R107,0,0,0,.,1,87611,1993,,,
20000218,ESafetyWorld Inc,SFTY,29605M109,0,0,0,.,0,87628,1997,,,
20000222,Nextel Partners Inc,NXTP,65333F107,0,0,1,240236000,0,87623,1998,,,
20000223,Carrier1 International SA,CONE,144500303,0,1,0,.,1,87593,1998,,,
20000224,Digitalthink Inc,DTHK,25388M100,0,1,0,.,1,87599,1996,,,
20000224,Intersil Holding Corp,ISIL,46069S109,0,0,1,89301185,0,87612,1980,,,
20000225,Hotel Reservations Network Inc,ROOM,441451101,0,0,1,54399000,1,87627,1991,,,
20000228,Avenue A Inc,AVEA,053566105,0,1,0,.,1,87587,1997,,,
20000228,Niku Corp,NIKU,654113109,0,1,0,.,1,87621,1998,,,
20000229,Onvia.com Inc,ONVI,68338T106,0,1,0,.,1,87797,1997,,,
20000229,net.Genesis Corp,NTGX,64107E107,0,1,0,.,1,87622,1994,,,
20000301,MatrixOne Inc,MONE,57685P304,0,1,0,.,0,87793,1983,,,
20000301,Palm Inc(3Com Corp),PALM,696642107,0,0,0,.,0,87800,1992,,,
20000302,AsiaInfo Holdings Inc,ASIA,04518A104,0,0,0,.,1,87752,1993,,,
20000302,Prime Response Inc,PRME,74158B100,0,1,0,.,1,87802,1987,,,
