Issuer Ticker,Issuer Name,Announced Date,Pricing Date,Industry Sector,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Market Cap at Offer (M)
RGCIQ,Townsquare Media 2010,11/26/1999,1/24/2000,Communications,,,-23.7,136,32.1157,272.983
NEOF,Neoforma,10/15/1999,1/24/2000,Communications,177.8,-101.9,-45,91,56.3649,732.744
HGAT,Healthgate Data,4/23/1999,1/25/2000,Communications,-2.1,-5.3,-20.7,41.25,16.4455,180.9
695534Q,T/R Systems,10/5/1999,1/25/2000,Technology,,,-41.3,30,11.5002,115.002
JHF,John Hancock Financial Service,9/17/1999,1/26/2000,Financial,18.7,8,0.6,1734,331.7,5638.9
1297092D,Infor Global Solutions Massach,11/15/1999,1/26/2000,Technology,41,-73.9,-29.4,80,21.8477,436.954
PKG,Packaging of America,9/13/1999,1/27/2000,Industrial,16.1,10.8,12.1,555,102.725,1232.7
SVNX,724 Solutions,11/2/1999,1/27/2000,Technology,21.1,-33.2,-56.7,156,35.4,920.4
MAXW,MaxWorldwide,9/23/1999,1/27/2000,Communications,-17.4,-122.7,-23.4,97.5,19.0791,286.187
3695043Q,NATCO Group,1/4/2000,1/27/2000,Energy,,,7.6,75,0,0
CAMZ,FIS Energy Systems,10/5/1999,1/27/2000,Technology,,,-10.2,69.952,14.611,233.776
ASPM,Aspect Medical Systems,8/31/1999,1/27/2000,"Consumer, Non-cyclical",,,7,52.5,15.8657,237.986
APL,Targa Pipeline Partners LP,8/13/1999,1/27/2000,Energy,32.4,7.7,4.7,19.5,0,0
SQNM,Sequenom,11/24/1999,1/31/2000,"Consumer, Non-cyclical",-15.3,-12.7,-35.3,136.5,22.5206,585.536
0618171D,Turnstone Systems,11/22/1999,1/31/2000,Communications,,-3057.9,,87,29.3538,851.26
QEDI,Quantum Effect Devices,9/10/1999,1/31/2000,Communications,217.3,-4.4,,59.52,25.9125,414.6
139663Q,Skillsoft US,9/9/1999,1/31/2000,Technology,,,-1.2,43.4,12.5793,176.11
PRXM,Proxim Wireless,9/27/1999,2/1/2000,Communications,-39.4,-25.6,-41.7,68,15.3323,260.649
3539245Q,Alamosa Holdings,10/29/1999,2/2/2000,Communications,,,3.9,182.138,59.7475,1015.71
1510484D,Centra Software,10/27/1999,2/2/2000,Communications,,,,70,23.2501,325.501
1292387D,Dobson Communications,11/12/1999,2/3/2000,Communications,,,0.4,550,88.2531,1941.57
MCCC,Mediacom Communications,11/12/1999,2/3/2000,Communications,,,,380,90,1710
AVNX,Lumentum Italy,12/3/1999,2/3/2000,Communications,,,-18,216,62.5293,2251.05
2679945Q,Therma-Wave,4/9/1999,2/3/2000,Technology,-18.4,-13.2,-13.8,180,15.2252,304.504
EMRG,eMerge Interactive,10/27/1999,2/3/2000,Communications,,,-116,120,32.2329,483.493
827691Q,Firepond,11/12/1999,2/3/2000,Communications,-53,-109.4,-12.6,110,32.4857,714.685
AGEN,Agenus,11/30/1999,2/3/2000,"Consumer, Non-cyclical",235.3,-8,-49.5,63,23.7159,426.886
INVT,Inventergy Global,11/23/1999,2/3/2000,Technology,-63.7,-435.6,110.4,43.2,11.3148,135.778
WQNI,WQN,12/17/1999,2/3/2000,Communications,,,1.3,35.75,5.696,74.048
BUYX,Buy.com,10/27/1999,2/7/2000,Communications,31.9,-16.8,-85,182,129.14,1678.82
FSSTQ,Fastnet,8/18/1999,2/7/2000,Communications,110.1,-53.2,-91.7,48,14.3889,172.667
VCNT,Vicinity,11/3/1999,2/8/2000,Communications,,-136.4,-11.2,119,24.2353,412
