Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Underpriced
0911013D,Specialty Laboratories Inc,12.6,-9.6,-15.9,80.0,20.1875,16.0,45.703125,323.0,12/8/2000,84749R100,-0.3,80.0,20.1875,0.00152654,365.0,14 - 16,Priced Within Range,0.0,0.0,0.0,0
1121454D,StorageNetworks Inc,-23.2,-80.6,-11.6,243.0,88.261,27.0,234.2592621,2383.05,6/29/2000,8.62E+107,-0.00553193,243.0,88.261,0.00660204,6567.0,23 - 25,Priced Above Range,1.0,1.0,1.0,1
1240716D,Targa Energy LP,69.4,-2.9,-0.8,82.8,21.1,23.0,0.0,485.3,7/21/2006,04930A104,0.7,82.8,21.1,0.00707592,3681.0,23 - 25,Priced Within Range,2.0,2.0,2.0,0
1448479D,Campus Crest Communities Inc,15.9,-152.4,-3.1,407.288,28.4283,12.5,0.079999998,355.35,10/14/2010,13466Y105,1.0,407.288,28.4283,2.99985,1942600.0,12.50 - 14.50,Priced Within Range,3.0,3.0,3.0,0
1556442D,GigPeak Inc,45.4,3.8,2.1,41.7,16.4847,6.95,-13.52517796,114.57,7/23/2004,37518Q109,0.0554221,41.7,16.4847,0.00454306,3073.0,6.50 - 7.50,Priced Within Range,1.0,4.0,4.0,0
1624250D,Bazaarvoice Inc,0.7,-7.9,-2.9,130.883,56.8562,12.0,37.58333206,682.27,2/24/2012,73271108,0.1,130.883,56.8562,0.360817,311026.0,10-Aug,Priced Above Range,1.0,5.0,5.0,1
1627503D,Colony Capital Inc/Old,180.0,17.8,1.5,287.5,14.631,20.0,-2.5,292.62,9/24/2009,19624R106,3.3,287.5,14.631,0.0428489,48584.0,20 - 20,Priced Within Range,3.0,3.0,6.0,0
1667565D,LIN Media LLC,17.8,24.2,-0.7,430.1,47.56,22.0,13.63636398,1046.32,5/3/2002,532771102,0.9,430.1,47.56,0.00380388,1500.0,19 - 22,Priced Within Range,4.0,6.0,7.0,0
1702253D,Towers Watson & Co,4.6,10.5,8.0,70.0,5.6,12.5,31.0,70.0,10/11/2000,891894107,8.2,70.0,5.6,0.00259202,1800.0,11.50 - 13.50,Priced Within Range,0.0,7.0,8.0,0
1712099D,Waitr Holdings Inc,-10.8,-2.8,-42.7,250.0,25.0,10.0,0.0,0.0,5/26/2016,51476W206,-0.0194123,250.0,25.0,6.55088,4577820.0,10-Oct,Priced Within Range,4.0,8.0,9.0,0
1719848D,Education Realty Trust Inc,14.5,14.3,4.2,349.6,19.174,16.0,2.8125,306.78,1/26/2005,28140H203,2.0,349.6,19.174,0.801484,646033.0,16 - 18,Priced Within Range,3.0,3.0,3.0,0
