Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Month/Date,Month of Quarter,Real GDP Per Capita,OECD Leading Indicator,Interest Rate,Seasonally Adjusted Unemployment Rate,CPI Growth Rate,Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Underpriced
0911013D,Specialty Laboratories Inc,12.6,-9.6,-15.9,80,20.1875,16,45.703125,323,12/8/00,84749R100,-0.3,80,20.1875,0.00152654,365,12/1/00,10/1/00,46777.00,99.18129543,6,3.947992115,-0.057438254,14 - 16,Priced Within Range,0,0,0,1
1121454D,StorageNetworks Inc,-23.2,-80.6,-11.6,243,88.261,27,234.2592621,2383.05,6/29/00,8.62E+107,-0.00553193,243,88.261,0.00660204,6567,6/1/00,4/1/00,46704.00,100.6856604,6,4.016709703,0.524781341,23 - 25,Priced Above Range,1,1,1,1
1240716D,Targa Energy LP,69.4,-2.9,-0.8,82.8,21.1,23,0,485.3,7/21/06,04930A104,0.7,82.8,21.1,0.00707592,3681,7/1/06,7/1/06,51155.00,101.0396636,6.25,4.811447274,0.295712173,23 - 25,Priced Within Range,2,2,2,0
1448479D,Campus Crest Communities Inc,15.9,-152.4,-3.1,407.288,28.4283,12.5,0.079999998,355.35,10/14/10,13466Y105,1,407.288,28.4283,2.99985,1942600,10/1/10,10/1/10,50859.00,99.75772772,0.75,9.681642739,0.124519889,12.50 - 14.50,Priced Within Range,3,3,3,1
1556442D,GigPeak Inc,45.4,3.8,2.1,41.7,16.4847,6.95,-13.52517796,114.57,7/23/04,37518Q109,0.0554221,41.7,16.4847,0.00454306,3073,7/1/04,7/1/04,49243.00,100.8035013,2.25,5.557144436,-0.158144439,6.50 - 7.50,Priced Within Range,1,4,4,0
1624250D,Bazaarvoice Inc,0.7,-7.9,-2.9,130.883,56.8562,12,37.58333206,682.27,2/24/12,73271108,0.1,130.883,56.8562,0.360817,311026,2/1/12,1/1/12,51559.00,99.86369756,0.75,8.372612628,0.440297355,10-Aug,Priced Above Range,1,5,5,1
1627503D,Colony Capital Inc/Old,180,17.8,1.5,287.5,14.631,20,-2.5,292.62,9/24/09,19624R106,3.3,287.5,14.631,0.0428489,48584,9/1/09,7/1/09,49473.00,97.75545488,0.5,9.999140225,0.062548069,20 - 20,Priced Within Range,3,3,6,0
1667565D,LIN Media LLC,17.8,24.2,-0.7,430.1,47.56,22,13.63636398,1046.32,5/3/02,532771102,0.9,430.1,47.56,0.00380388,1500,5/1/02,4/1/02,46866.00,99.45832738,1.25,5.85679877,0,19 - 22,Priced Within Range,4,6,7,1
1702253D,Towers Watson & Co,4.6,10.5,8,70,5.6,12.5,31,70,10/11/00,891894107,8.2,70,5.6,0.00259202,1800,10/1/00,10/1/00,46777.00,99.82727924,6,3.921346643,0.172711572,11.50 - 13.50,Priced Within Range,0,7,8,1
1712099D,Waitr Holdings Inc,-10.8,-2.8,-42.7,250,25,10,0,0,5/26/16,51476W206,-0.0194123,250,25,6.55088,4577820,5/1/16,4/1/16,54334.00,99.17131936,1,4.882282302,0.4045791,10-Oct,Priced Within Range,4,8,9,0
1719848D,Education Realty Trust Inc,14.5,14.3,4.2,349.6,19.174,16,2.8125,306.78,1/26/05,28140H203,2,349.6,19.174,0.801484,646033,1/1/05,1/1/05,50068.00,100.465498,3.25,5.311398023,0.21019443,16 - 18,Priced Within Range,3,3,3,1
1752683D,First Connecticut Bancorp Inc/,12.2,17.2,0.6,171.925,17.8802,10,10.80000019,178.8,6/30/11,319850103,1.4,171.925,17.8802,0.356508,57936,6/1/11,4/1/11,50897.00,99.76797113,0.75,9.175962174,-0.107096706,10-Oct,Priced Within Range,3,9,10,1
