,Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M),Shares Outstanding (M),Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup
0,0000492D US,Pioneer Municipal and Equity I,,,,430.5,0,15,0,0,1/28/2004,723761102,,430.5,0,,,,,Financial,Country Funds-Closed-end,Finance-Investment Fund
1,0000708D US,Spirit Finance Corp/Old,128.2,27.7,2.1,330,63.5068,11,12.72727299,698.57,12/16/2004,848568309,1.1,330,63.5068,,,10.50 - 12.50,Priced Within Range,Financial,REITS,REITS-Diversified
2,0117799D US,Penn Virginia GP Holdings LP,31.5,4.3,2.9,127.65,39.025,18.5,-2.702702761,721.96,12/5/2006,70788P105,4.5,127.65,39.025,,,18 - 20,Priced Within Range,Energy,Coal,Coal
3,0118185D US,Loews Corp - Carolina Group,7.3,26,,1127,35,28,3.928571463,980,2/1/2002,540424207,,1127,35,0.0275494,29880,25 - 28,Priced Within Range,"Consumer, Non-cyclical",Agriculture,Tobacco
4,0118440Q US,Third Wave Technologies Inc,,,-44.5,82.5,38.2717,11,0.568181813,420.99,2/8/2001,88428W108,,82.5,38.2717,0.00083715,369,13-Nov,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment
5,0120599D US,Eden Bioscience Corp,-51.1,-337.7,-12.5,87,22.7327,15,100,340.99,9/27/2000,279445878,-0.2,87,22.7327,,,14-Dec,Priced Above Range,"Consumer, Non-cyclical",Biotechnology,Agricultural Biotech
6,0121648D US,Old RMR Real Estate Income Fun,,,,100.005,0,15,0,0,12/19/2003,74964K609,,100.005,0,,,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds
7,0212710D US,K&F Industries Holdings Inc,,,3.7,327.423,39.5859,17.5,-0.571428597,692.75,8/8/2005,482241106,,327.423,39.5859,,,16 - 18,Priced Within Range,Industrial,Aerospace/Defense,Aerospace/Defense-Equip
8,0216051D US,New Skies Satellites Holdings,,-0.5,,225.802,30.6037,16.5,0.484848499,504.96,5/10/2005,N.A.,4.5,225.802,30.6037,,,18 - 20,Priced Below Range,Communications,Telecommunications,Satellite Telecom
9,0313624D US,Stanley Inc,,,8.8,94.185,19.9618,13,19.23077011,259.5,10/18/2006,854532108,,94.185,19.9618,,,14-Dec,Priced Within Range,Industrial,Engineering&Construction,Engineering/R&D Services
