,Model Name,Accuracy,bootstrap,ccp_alpha,class_weight,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start
0,random_forest_977,0.8784313725490196,False,0.0,,gini,9,auto,,,0.0,1,2,0.0,900,,False,,0,False
1,random_forest_963,0.7058823529411765,False,0.0,,gini,2,auto,,,0.0,1,2,0.0,900,,False,,0,False
2,random_forest_793,0.8176470588235294,False,0.0,,gini,7,auto,,,0.0,1,2,0.0,750,,False,,0,False
3,random_forest_787,0.7215686274509804,False,0.0,,gini,4,auto,,,0.0,1,2,0.0,750,,False,,0,False
4,random_forest_778,0.9176470588235294,True,0.0,,entropy,15,auto,,,0.0,1,2,0.0,700,,False,,0,False
5,random_forest_988,0.9176470588235294,True,0.0,,gini,15,auto,,,0.0,1,2,0.0,900,,False,,0,False
6,random_forest_750,0.7058823529411765,True,0.0,,entropy,1,auto,,,0.0,1,2,0.0,700,,False,,0,False
7,random_forest_744,0.9215686274509803,True,0.0,,gini,13,auto,,,0.0,1,2,0.0,700,,False,,0,False
8,random_forest_93,0.7058823529411765,False,0.0,,entropy,2,auto,,,0.0,1,2,0.0,150,,False,,0,False
9,random_forest_591,0.9156862745098039,False,0.0,,entropy,11,auto,,,0.0,1,2,0.0,550,,False,,0,False
10,random_forest_585,0.8294117647058824,False,0.0,,entropy,8,auto,,,0.0,1,2,0.0,550,,False,,0,False
11,random_forest_87,0.9196078431372549,False,0.0,,gini,14,auto,,,0.0,1,2,0.0,150,,False,,0,False
12,random_forest_1031,0.7941176470588235,False,0.0,,gini,6,auto,,,0.0,1,2,0.0,950,,False,,0,False
13,random_forest_208,0.9215686274509803,True,0.0,,gini,15,auto,,,0.0,1,2,0.0,250,,False,,0,False
14,random_forest_78,0.8764705882352941,True,0.0,,gini,10,auto,,,0.0,1,2,0.0,150,,False,,0,False
15,random_forest_1025,0.7058823529411765,False,0.0,,gini,3,auto,,,0.0,1,2,0.0,950,,False,,0,False
16,random_forest_50,0.8941176470588236,True,0.0,,entropy,11,auto,,,0.0,1,2,0.0,100,,False,,0,False
17,random_forest_234,0.9156862745098039,True,0.0,,entropy,13,auto,,,0.0,1,2,0.0,250,,False,,0,False
18,random_forest_552,0.807843137254902,True,0.0,,gini,7,auto,,,0.0,1,2,0.0,550,,False,,0,False
19,random_forest_546,0.7274509803921568,True,0.0,,gini,4,auto,,,0.0,1,2,0.0,550,,False,,0,False
20,random_forest_1019,0.9156862745098039,False,0.0,,entropy,15,auto,,,0.0,1,2,0.0,900,,False,,0,False
21,random_forest_220,0.7686274509803922,True,0.0,,entropy,6,auto,,,0.0,1,2,0.0,250,,False,,0,False
22,random_forest_44,0.8176470588235294,True,0.0,,entropy,8,auto,,,0.0,1,2,0.0,100,,False,,0,False
23,random_forest_383,0.9137254901960784,False,0.0,,gini,12,auto,,,0.0,1,2,0.0,400,,False,,0,False
24,random_forest_397,0.7156862745098039,False,0.0,,entropy,4,auto,,,0.0,1,2,0.0,400,,False,,0,False
25,random_forest_368,0.7529411764705882,True,0.0,,gini,5,auto,,,0.0,1,2,0.0,400,,False,,0,False
26,random_forest_340,0.7647058823529411,True,0.0,,entropy,6,auto,,,0.0,1,2,0.0,350,,False,,0,False
27,random_forest_426,0.7294117647058823,True,0.0,,gini,4,auto,,,0.0,1,2,0.0,450,,False,,0,False
28,random_forest_432,0.803921568627451,True,0.0,,gini,7,auto,,,0.0,1,2,0.0,450,,False,,0,False
29,random_forest_354,0.9156862745098039,True,0.0,,entropy,13,auto,,,0.0,1,2,0.0,350,,False,,0,False
30,random_forest_803,0.9196078431372549,False,0.0,,gini,12,auto,,,0.0,1,2,0.0,750,,False,,0,False
31,random_forest_817,0.7156862745098039,False,0.0,,entropy,4,auto,,,0.0,1,2,0.0,750,,False,,0,False
32,random_forest_181,0.7058823529411765,False,0.0,,gini,1,auto,,,0.0,1,2,0.0,250,,False,,0,False
33,random_forest_195,0.8431372549019608,False,0.0,,gini,8,auto,,,0.0,1,2,0.0,250,,False,,0,False
34,random_forest_618,0.8823529411764706,True,0.0,,gini,10,auto,,,0.0,1,2,0.0,600,,False,,0,False
35,random_forest_624,0.9196078431372549,True,0.0,,gini,13,auto,,,0.0,1,2,0.0,600,,False,,0,False
36,random_forest_142,0.907843137254902,True,0.0,,gini,12,auto,,,0.0,1,2,0.0,200,,False,,0,False
37,random_forest_156,0.7176470588235294,True,0.0,,entropy,4,auto,,,0.0,1,2,0.0,200,,False,,0,False
38,random_forest_630,0.7058823529411765,True,0.0,,entropy,1,auto,,,0.0,1,2,0.0,600,,False,,0,False
39,random_forest_157,0.7176470588235294,False,0.0,,entropy,4,auto,,,0.0,1,2,0.0,200,,False,,0,False
40,random_forest_631,0.7058823529411765,False,0.0,,entropy,1,auto,,,0.0,1,2,0.0,600,,False,,0,False
41,random_forest_625,0.9196078431372549,False,0.0,,gini,13,auto,,,0.0,1,2,0.0,600,,False,,0,False
42,random_forest_143,0.9215686274509803,False,0.0,,gini,12,auto,,,0.0,1,2,0.0,200,,False,,0,False
43,random_forest_619,0.9098039215686274,False,0.0,,gini,10,auto,,,0.0,1,2,0.0,600,,False,,0,False
44,random_forest_194,0.8352941176470589,True,0.0,,gini,8,auto,,,0.0,1,2,0.0,250,,False,,0,False
45,random_forest_180,0.7058823529411765,True,0.0,,gini,1,auto,,,0.0,1,2,0.0,250,,False,,0,False
46,random_forest_816,0.7196078431372549,True,0.0,,entropy,4,auto,,,0.0,1,2,0.0,750,,False,,0,False
47,random_forest_802,0.9196078431372549,True,0.0,,gini,12,auto,,,0.0,1,2,0.0,750,,False,,0,False
48,random_forest_433,0.8196078431372549,False,0.0,,gini,7,auto,,,0.0,1,2,0.0,450,,False,,0,False
49,random_forest_355,0.9156862745098039,False,0.0,,entropy,13,auto,,,0.0,1,2,0.0,350,,False,,0,False
50,random_forest_341,0.7745098039215687,False,0.0,,entropy,6,auto,,,0.0,1,2,0.0,350,,False,,0,False
51,random_forest_427,0.7215686274509804,False,0.0,,gini,4,auto,,,0.0,1,2,0.0,450,,False,,0,False
52,random_forest_369,0.7607843137254902,False,0.0,,gini,5,auto,,,0.0,1,2,0.0,400,,False,,0,False
53,random_forest_396,0.7215686274509804,True,0.0,,entropy,4,auto,,,0.0,1,2,0.0,400,,False,,0,False
54,random_forest_382,0.9156862745098039,True,0.0,,gini,12,auto,,,0.0,1,2,0.0,400,,False,,0,False
55,random_forest_547,0.7294117647058823,False,0.0,,gini,4,auto,,,0.0,1,2,0.0,550,,False,,0,False
56,random_forest_45,0.8411764705882353,False,0.0,,entropy,8,auto,,,0.0,1,2,0.0,100,,False,,0,False
57,random_forest_221,0.7745098039215687,False,0.0,,entropy,6,auto,,,0.0,1,2,0.0,250,,False,,0,False
58,random_forest_1018,0.9196078431372549,True,0.0,,entropy,15,auto,,,0.0,1,2,0.0,900,,False,,0,False
59,random_forest_235,0.9196078431372549,False,0.0,,entropy,13,auto,,,0.0,1,2,0.0,250,,False,,0,False
60,random_forest_51,0.9137254901960784,False,0.0,,entropy,11,auto,,,0.0,1,2,0.0,100,,False,,0,False
61,random_forest_553,0.8176470588235294,False,0.0,,gini,7,auto,,,0.0,1,2,0.0,550,,False,,0,False
62,random_forest_1024,0.711764705882353,True,0.0,,gini,3,auto,,,0.0,1,2,0.0,950,,False,,0,False
63,random_forest_79,0.9,False,0.0,,gini,10,auto,,,0.0,1,2,0.0,150,,False,,0,False
64,random_forest_209,0.9176470588235294,False,0.0,,gini,15,auto,,,0.0,1,2,0.0,250,,False,,0,False
65,random_forest_1030,0.7784313725490196,True,0.0,,gini,6,auto,,,0.0,1,2,0.0,950,,False,,0,False
66,random_forest_584,0.8215686274509804,True,0.0,,entropy,8,auto,,,0.0,1,2,0.0,550,,False,,0,False
