,Date,Company Name,Ticker,Sector,Price ($),Size (M),1,2,3,Rank,Turnover,Gain,Year
0,Dec 12,,,,16.0,6,CS,GS,RBC,,100.9%,64.9%,2012
1,Dec 19,,,,10.0,28,MS,,,,20.3%,-1%,2012
2,Dec 13,PBF Energy Inc,PBF,Energy,26.0,20,CITI,MS,,,87.6%,1%,2012
3,Dec 7,,,,22.0,17,BRCL,CITI,,,65.9%,27.3%,2012
4,Nov 21,YY Inc,YY,Technology,10.5,7,CITI,DB,MS,,58.6%,7.7%,2012
5,Nov 19,,,,5.3,4,,,,,0%,814.3%,2012
6,Nov 8,Atossa Genetics Inc,ATOS,Health-Care,5.0,800,DWSN,,,,0.1%,72.6%,2012
7,Nov 2,Delek Logistics Partners L P,DKL,,21.0,8,BRCL,BAML,,,82%,6.4%,2012
8,Nov 2,Restoration Hardware Holdings Inc,RH,Consumer-Services,24.0,5,BAML,GS,,,132.4%,29.6%,2012
9,Nov 2,,,,20.0,9,CITI,WLFG,,,74.3%,11.8%,2012
10,Oct 26,MPLX LP,MPLX,Energy,22.0,17,BAML,MS,UBS,,57.8%,23.6%,2012
11,Oct 19,,,,22.0,8,CITI,MS,WLFG,,86.4%,10.8%,2012
12,Oct 12,Workday Inc,WDAY,Technology,28.0,22,GS,MS,,,79.7%,73.9%,2012
13,Oct 12,Diamondback Energy Inc,FANG,Energy,17.5,12,CS,,,,51.7%,0%,2012
14,Oct 11,Intercept Pharmaceuticals Inc,ICPT,Health-Care,15.0,5,BAML,,,,16.3%,29.3%,2012
15,Oct 11,Shutterstock Inc,SSTK,Technology,17.0,4,DB,JEFF,MS,,130.5%,27.4%,2012
16,Oct 11,,,,27.0,40,BRCL,GS,JPM,,72.9%,26.7%,2012
17,Oct 10,Ambarella Inc,AMBA,Technology,6.0,6,DB,MS,,,59.4%,1%,2012
18,Oct 10,,,,10.0,9,DB,UBS,,,102.6%,-4.2%,2012
19,Oct 4,Berry Global Group Inc,BERY,Consumer-Non-Durables,16.0,29,BRCL,BAML,CITI,,60.1%,-5%,2012
20,Oct 4,Regulus Therapeutics Inc,RGLS,Health-Care,4.0,11,BMO,COWN,,,1.2%,1160%,2012
21,Oct 3,Luxfer Holdings PLC,LXFR,Basic-Industries,10.0,8,CS,JEFF,,,43.7%,10%,2012
22,Sep 28,Qualys Inc,QLYS,Technology,12.0,7,CS,JPM,,,128.7%,18%,2012
23,Sep 28,Summit Midstream Partners LP,SMLP,,20.0,12,BRCL,BAML,,,68.8%,5.6%,2012
24,Sep 26,Banco Santander Mexico S A,BSMX,,12.2,238,BAML,DB,,,59.8%,6%,2012
25,Sep 20,National Bank Holdings Corporation,NBHC,Finance,19.3,7,GS,KBW,,,49.5%,1.8%,2012
26,Sep 20,Spirit Realty Capital Inc,SRC,Consumer-Services,15.0,29,MS,,,,108.9%,-52.9%,2012
27,Aug 16,,,,17.0,11,BRCL,MS,,,77.2%,17.6%,2012
28,Aug 10,Performant Financial Corporation,PFMT,Consumer-Services,9.0,9,GS,MS,,,67.3%,17.8%,2012
29,Aug 10,Manchester United Ltd,MANU,Consumer-Services,14.0,16,CS,JPM,JEFF,,191.1%,0%,2012
30,Aug 8,Bloomin Brands Inc,BLMN,,11.0,16,BAML,JPM,MS,,68.4%,12.8%,2012
31,Aug 3,Globus Medical Inc,GMED,Health-Care,12.0,8,BAML,GS,PPRJ,,46.8%,12.5%,2012
32,Jul 27,,,,13.0,5,DB,PPRJ,WLFG,,55.3%,0%,2012
33,Jul 25,Eurosite Power Inc,EUSP,,1.3,15,MRMN,,,,0%,0%,2012
34,Jul 25,Natural Grocers by Vitamin Cottage Inc,NGVC,Consumer-Services,15.0,7,PPRJ,SNTR,,,88%,19.1%,2012
35,Jul 24,Chuy s Holdings Inc,CHUY,,13.0,5,JEFF,RWB,,,74.5%,15.8%,2012
36,Jul 20,Palo Alto Networks Inc,PANW,Technology,42.0,6,CITI,GS,MS,,113.2%,26.5%,2012
37,Jul 19,Five Below Inc,FIVE,Consumer Services,17.0,9,BRCL,GS,JEFF,,108.8%,55.9%,2012
38,Jul 10,FS Bancorp Inc,FSBW,Finance,10.0,2,KBW,,,,37.4%,0.1%,2012
