,Ticker,Trade Date,Company,Lead/Joint-Lead Mangers,Offer Price,Opening Price,1st Day Close,1st Day Percent Change,Change Opening,Change Close,Star Ratings,Year,Underpriced
0,SQSW,2000-05-12,Sequoia Software ,['Lehman Brothers'],8.0,10.25,10.0625,0.2578125,2.25,2.0625,2,2000,False
1,UNWR,2000-05-18,US Unwired,['Donaldson Lufkin & Jenrette'],11.0,11.03125,11.0625,0.0056818184,0.03125,0.0625,1,2000,False
2,NGTC,2000-05-18,Nogatech ,['W.R. Hambrecht+Co'],12.0,11.875,9.40625,-0.21614583,-0.125,-2.59375,1,2000,True
3,IBEM,2000-05-18,iBEAM Broadcasting ,['Morgan Stanley Dean Witter'],10.0,11.5,14.0,0.4,1.5,4.0,2,2000,False
4,NUFO,2000-05-18,New Focus ,['Credit Suisse First Boston'],20.0,40.0,51.0,1.55,20.0,31.0,3,2000,False
5,CSAV,2000-05-19,CoolSavings.com ,['Chase H&Q'],7.0,7.0,5.53125,-0.20982143,0.0,-1.46875,1,2000,True
6,PXLW,2000-05-19,PixelWorks ,['Salomon Smith Barney'],10.0,11.25,10.890625,0.0890625,1.25,0.890625,3,2000,False
7,PRTH,2000-05-19,Parthus Technologies ,"['Goldman, Sachs']",12.6,20.0,20.8125,0.65178573,7.4,8.2125,3,2000,False
8,ICST,2000-05-23,Integrated Circuit Systems ,['Credit Suisse First Boston'],13.0,13.0,12.0,-0.07692308,0.0,-1.0,1,2000,True
9,UCO,2000-05-24,Universal Compression Holdings ,['Merrill Lynch'],22.0,23.25,22.0625,0.0028409092,1.25,0.0625,2,2000,False
10,CTLM,2000-05-24,Centillium Communications ,['Credit Suisse First Boston'],19.0,20.25,22.875,0.20394737,1.25,3.875,3,2000,False
11,SMDI,2000-05-25,Stanford Microdevices ,['Deutsche Banc Alex Brown'],12.0,12.0,13.75,0.14583333,0.0,1.75,3,2000,False
12,SONS,2000-05-25,Sonus Networks ,"['Goldman, Sachs']",23.0,32.0,50.5,1.1956521,9.0,27.5,4,2000,False
13,FHRX,2000-05-31,First Horizon Pharmaceutical ,['Chase H&Q'],8.0,8.0,8.0,0.0,0.0,0.0,1,2000,False
14,NRG,2000-05-31,NRG Energy ,['Salomon Smith Barney'],15.0,15.875,16.625,0.108333334,0.875,1.625,2,2000,False
15,CWLD,2000-06-01,CrossWorlds Software ,['Chase H&Q'],10.0,10.0,10.125,0.0125,0.0,0.125,1,2000,False
16,ONIS,2000-06-01,ONI Systems ,"['Goldman, Sachs']",25.0,80.0,82.5625,2.3025,55.0,57.5625,4,2000,False
17,EXLT,2000-06-02,EXULT,['Merrill Lynch'],10.0,10.0625,10.0,0.0,0.0625,0.0,1,2000,False
18,UPCS,2000-06-07,UbiquiTel ,"['Donaldson, Lufkin & Jenrette']",8.0,7.9375,7.6875,-0.0390625,-0.0625,-0.3125,1,2000,True
19,CYH,2000-06-09,Community Health Systems ,['Merrill Lynch'],13.0,13.375,13.6875,0.052884616,0.375,0.6875,2,2000,False
20,ISRG,2000-06-13,Intuitive Surgical ,['Lehman Brothers'],9.0,9.0,9.03125,0.0034722222,0.0,0.03125,1,2000,False
21,TTA,2000-06-13,Take To Auction ,['Noble International Investments'],8.0,7.8125,8.5,0.0625,-0.1875,0.5,1,2000,False
22,AUGT,2000-06-14,August Technology,['Needham'],12.0,15.25,15.1875,0.265625,3.25,3.1875,2,2000,False
23,REDF,2000-06-14,Rediff.com India ,"['Goldman, Sachs']",12.0,21.0,19.3125,0.609375,9.0,7.3125,3,2000,False
24,OSCA,2000-06-15,OSCA ,['Salomon Smith Barney'],15.5,17.0,17.625,0.13709678,1.5,2.125,3,2000,False
25,DNDN,2000-06-16,Dendreon,['Prudential Vector Healthcare'],10.0,10.03125,9.6875,-0.03125,0.03125,-0.3125,1,2000,True
26,SLT,2000-06-20,Silverline Technologies ,['Salomon Smith Barney'],25.0,30.5,32.0,0.28,5.5,7.0,1,2000,False
27,CHU,2000-06-21,China Unicom ,['Morgan Stanley Dean Witter & China Intl.'],19.99,22.0,22.375,0.11930966,2.01,2.385,3,2000,False
28,CPHD,2000-06-21,Cepheid ,['UBS Warburg '],6.0,6.25,9.0,0.5,0.25,3.0,1,2000,False
29,HAND,2000-06-21,Handspring ,['Credit Suisse First Boston'],20.0,27.0,26.9375,0.346875,7.0,6.9375,2,2000,False
30,CKSW,2000-06-22,ClickSoftware ,['Lehman Brothers'],7.0,7.0,7.0,0.0,0.0,0.0,1,2000,False
31,CRL,2000-06-23,Charles River Laboratories ,['Donaldson Lufkin & Jenrette/Lehman Brothers'],16.0,19.5,22.0,0.375,3.5,6.0,4,2000,False
32,ACCL,2000-06-23,Accelerated Networks ,['Credit Suisse First Boston'],15.0,33.0,47.875,2.1916666,18.0,32.875,2,2000,False
33,MSV,2000-06-23,Manufacturers Services  ,['Donaldson Lufkin & Jenrette'],16.0,20.75,21.25,0.328125,4.75,5.25,3,2000,False
34,QBAK,2000-06-23,QualStar ,['First Van Kasper/Needham'],7.0,7.5625,7.71875,0.102678575,0.5625,0.71875,1,2000,False
35,EFDS,2000-06-27,eFunds ,['Lehman Brothers'],13.0,13.03125,13.0,0.0,0.03125,0.0,1,2000,False
36,CKCM,2000-06-27,Click Commerce ,['Morgan Stanley Dean Witter'],10.0,14.0,17.625,0.7625,4.0,7.625,3,2000,False
37,MRVL,2000-06-27,Marvell Technology Group ,"['Goldman, Sachs']",15.0,47.5,56.625,2.775,32.5,41.625,4,2000,False
38,STLW,2000-06-27,Stratos Lightwave ,['Lehman Brothers'],21.0,50.0,34.125,0.625,29.0,13.125,4,2000,False
39,GENU,2000-06-28,Genuity ,['Morgan Stanley Dean Witter/Salomon Smith Barney'],11.0,10.75,9.40625,-0.14488636,-0.25,-1.59375,1,2000,True
40,ACCD,2000-06-29,Accord Networks ,['CIBC World Markets'],11.0,11.0,8.9375,-0.1875,0.0,-2.0625,3,2000,True
41,CARE,2000-06-29,CareScience  ,['Deutsche Banc Alex. Brown'],12.0,11.25,10.015625,-0.16536458,-0.75,-1.984375,1,2000,True
42,CPST,2000-06-29,CapStone Turbine ,"['Goldman, Sachs']",16.0,27.375,47.984375,1.9990234,11.375,31.984375,2,2000,False
43,VRGE,2000-06-29,Virage ,['Credit Suisse First Boston'],11.0,14.5,16.875,0.53409094,3.5,5.875,3,2000,False
44,NTES,2000-06-30,Netease.com ,['Merrill Lynch'],15.5,15.3125,12.125,-0.21774194,-0.1875,-3.375,3,2000,True
45,MBT,2000-06-30,Mobile Telesystems,['DBAB/ING'],21.5,21.5,22.375,0.040697675,0.0,0.875,3,2000,False
46,MOBE,2000-06-30,Mobility Electronics ,['Deutsche Banc Alex. Brown'],12.0,13.0,13.0,0.083333336,1.0,1.0,3,2000,False
47,EXFO,2000-06-30,Exfo Electro-Optical Engineering ,['Merrill Lynch'],26.0,45.875,43.875,0.6875,19.875,17.875,4,2000,False
48,PRSE,2000-06-30,Precise Software Soluntions ,['Merrill Lynch'],16.0,18.75,24.0,0.5,2.75,8.0,3,2000,False
49,STOR,2000-06-30,StorageNetworks ,"['Goldman, Sachs']",27.0,92.0,90.25,2.3425925,65.0,63.25,3,2000,False
50,IVTA,2000-07-07,InfoVista SA ,['Lehman Brothers'],12.23,15.5,30.5,1.4938675,3.27,18.27,3,2000,False
51,ASTT,2000-07-11,ASAT Holdings ,['Chase H&Q'],12.0,12.0,11.0,-0.083333336,0.0,-1.0,3,2000,True
52,ACLS,2000-07-11,Axcelis Technologies ,"['Goldman, Sachs/Morgan Stanley Dean Witter']",22.0,27.5,23.9375,0.08806818,5.5,1.9375,4,2000,False
53,ENTG,2000-07-11,Entegris  ,['Merrill Lynch'],11.0,10.875,11.1875,0.017045455,-0.125,0.1875,1,2000,False
54,TKC,2000-07-11,Turkcell ,['Goldman Sachs/Morgan Stanlet Dean Witter'],17.6,18.0,17.625,0.0014204546,0.4,0.025,2,2000,False
55,DVIN,2000-07-12,divine interVentures  ,['Robertson Stephens'],9.0,8.5,8.78125,-0.024305556,-0.5,-0.21875,1,2000,True
56,SOHU,2000-07-12,Sohu.com ,['Credit Suisse First Boston'],13.0,13.3125,13.0,0.0,0.3125,0.0,1,2000,False
57,IMNY,2000-07-13,I-Many ,['Robertson Stephens'],9.0,9.03125,12.484375,0.3871528,0.03125,3.484375,2,2000,False
58,NENG,2000-07-13,Network Engines  ,['Donaldson Lufkin & Jenrette'],17.0,28.0,29.0,0.7058824,11.0,12.0,4,2000,False
59,SRTI,2000-07-13,Sunrise Telecom ,['Chase H&Q'],15.0,31.0,40.3125,1.6875,16.0,25.3125,4,2000,False
60,TNSI,2000-07-13,Triton Network Systems ,['Credit Suisse First Boston'],15.0,35.0,38.875,1.5916667,20.0,23.875,3,2000,False
61,OVTI,2000-07-14,OmniVision Technologies ,['Robertson Stephens'],13.0,27.0,34.0,1.6153846,14.0,21.0,3,2000,False
62,PTIE,2000-07-14,Pain Therapeutics ,['Thomas Weisel'],12.0,14.5,21.875,0.8229167,2.5,9.875,3,2000,False
