Ticker,Date,Company Name,Sector,Price,Size,1,2,3,Turnover,Gain,Year
PBF,Dec 13,PBF Energy Inc,Energy,26.0,20,CITI,MS,,0.8759999999999999,0.01,2012
YY,Nov 21,YY Inc,Technology,10.5,7,CITI,DB,MS,0.586,0.077,2012
ATOS,Nov 8,Atossa Genetics Inc,Health-Care,5.0,800,DWSN,,,0.001,0.726,2012
RH,Nov 2,Restoration Hardware Holdings Inc,Consumer-Services,24.0,5,BAML,GS,,1.324,0.29600000000000004,2012
MPLX,Oct 26,MPLX LP,Energy,22.0,17,BAML,MS,UBS,0.578,0.23600000000000002,2012
WDAY,Oct 12,Workday Inc,Technology,28.0,22,GS,MS,,0.797,0.7390000000000001,2012
FANG,Oct 12,Diamondback Energy Inc,Energy,17.5,12,CS,,,0.517,0.0,2012
ICPT,Oct 11,Intercept Pharmaceuticals Inc,Health-Care,15.0,5,BAML,,,0.163,0.293,2012
SSTK,Oct 11,Shutterstock Inc,Technology,17.0,4,DB,JEFF,MS,1.305,0.27399999999999997,2012
AMBA,Oct 10,Ambarella Inc,Technology,6.0,6,DB,MS,,0.594,0.01,2012
BERY,Oct 4,Berry Global Group Inc,Consumer-Non-Durables,16.0,29,BRCL,BAML,CITI,0.601,-0.05,2012
RGLS,Oct 4,Regulus Therapeutics Inc,Health-Care,4.0,11,BMO,COWN,,0.012,11.6,2012
LXFR,Oct 3,Luxfer Holdings PLC,Basic-Industries,10.0,8,CS,JEFF,,0.43700000000000006,0.1,2012
QLYS,Sep 28,Qualys Inc,Technology,12.0,7,CS,JPM,,1.287,0.18,2012
NBHC,Sep 20,National Bank Holdings Corporation,Finance,19.3,7,GS,KBW,,0.495,0.018000000000000002,2012
SRC,Sep 20,Spirit Realty Capital Inc,Consumer-Services,15.0,29,MS,,,1.089,-0.529,2012
PFMT,Aug 10,Performant Financial Corporation,Consumer-Services,9.0,9,GS,MS,,0.6729999999999999,0.17800000000000002,2012
MANU,Aug 10,Manchester United Ltd,Consumer-Services,14.0,16,CS,JPM,JEFF,1.911,0.0,2012
GMED,Aug 3,Globus Medical Inc,Health-Care,12.0,8,BAML,GS,PPRJ,0.46799999999999997,0.125,2012
NGVC,Jul 25,Natural Grocers by Vitamin Cottage Inc,Consumer-Services,15.0,7,PPRJ,SNTR,,0.88,0.191,2012
PANW,Jul 20,Palo Alto Networks Inc,Technology,42.0,6,CITI,GS,MS,1.1320000000000001,0.265,2012
FIVE,Jul 19,Five Below Inc,Consumer Services,17.0,9,BRCL,GS,JEFF,1.088,0.5589999999999999,2012
FSBW,Jul 10,FS Bancorp Inc,Finance,10.0,2,KBW,,,0.374,0.001,2012
NOW,Jun 29,ServiceNow Inc,Technology,18.0,11,CITI,DB,MS,0.938,0.36700000000000005,2012
FB,May 18,Meta Inc,Technology,38.0,421,GS,JPM,MS,1.375,0.006,2012
WMC,May 10,Western Asset Mortgage Capital Corporation,Consumer-Services,20.0,8,CITI,DB,JPM,0.924,-0.062,2012
CG,May 3,The Carlyle Group L P,Finance,22.0,30,CITI,CS,JPM,0.436,0.002,2012
SUPN,May 1,Supernus Pharmaceuticals Inc,Health-Care,5.0,10,CITI,PPRJ,,0.068,0.07400000000000001,2012
ACRE,Apr 26,Ares Commercial Real Estate Corporation,Consumer-Services,18.5,7,BAML,CITI,JPM,0.41100000000000003,-0.027000000000000003,2012
CLIR,Apr 25,ClearSign Combustion Corporation,Capital-Goods,4.0,3,MDBC,,,0.166,0.05,2012
SPLK,Apr 19,Splunk Inc,Technology,17.0,13,BAML,CS,JPM,1.046,1.087,2012
FET,Apr 12,Forum Energy Technologies Inc,Energy,20.0,18,JPM,,,0.624,0.08800000000000001,2012
MRC,Apr 12,MRC Global Inc,Capital-Goods,21.0,22,BRCL,GS,,0.447,0.002,2012
ENPH,Mar 30,Enphase Energy Inc,Technology,6.0,8,BAML,DB,MS,0.563,0.223,2012
MACK,Mar 29,Merrimack Pharmaceuticals Inc,Health-Care,7.0,14,JPM,,,0.026000000000000002,7.629,2012
RM,Mar 28,Regional Management Corp,Finance,15.0,4,JEFF,STPH,,0.561,0.09699999999999999,2012
VIPS,Mar 23,Vipshop Holdings Limited,Consumer-Services,6.5,11,DB,GS,,4.697,-0.915,2012
CSTE,Mar 22,Caesarstone Ltd,Capital-Goods,11.0,6,BRCL,CS,JPM,0.736,0.01,2012
ALSN,Mar 15,Allison Transmission Holdings Inc,Capital-Goods,23.0,26,BAML,CITI,JPM,0.531,0.017,2012
MTSI,Mar 15,MACOM Technology Solutions Holdings Inc,Technology,19.0,6,BRCL,JPM,JEFF,0.7,0.08199999999999999,2012
SIR,Mar 7,Select Income REIT,Consumer-Services,21.5,8,BAML,MS,WLFG,0.33899999999999997,0.006999999999999999,2012
YELP,Mar 2,Yelp Inc,Consumer-Services,15.0,7,CITI,GS,,2.441,0.639,2012
PRLB,Feb 24,Proto Labs Inc,Capital-Goods,16.0,4,JEFF,PPRJ,,0.94,0.813,2012
BCOV,Feb 17,Brightcove Inc,Technology,11.0,5,MS,Stifel,,0.87,0.3,2012
HMST,Feb 10,HomeStreet Inc,Finance,44.0,1,FBR,,,1.304,-0.727,2012
CCXI,Feb 8,ChemoCentryx Inc,Health-Care,10.0,4,CITI,JPM,,0.225,0.1,2012
CZR,Feb 8,Caesars Entertainment Corporation,Consumer-Services,9.0,1,CITI,CS,,6.42,0.71,2012
CPAC,Feb 8,Cementos Pacasmayo S A A,Capital-Goods,11.5,20,JPM,,,0.23800000000000002,-0.037000000000000005,2012
EPAM,Feb 8,EPAM Systems Inc,Technology,12.0,6,BRCL,CITI,,0.556,0.16699999999999998,2012
MTDR,Feb 2,Matador Resources Company,Energy,12.0,13,CITI,RBC,,0.34299999999999997,-0.021,2012
VSTM,Jan 27,Verastem Inc,Health-Care,10.0,5,,UBS,,0.136,0.109,2012
GWRE,Jan 25,Guidewire Software Inc,Technology,13.0,8,CITI,DB,JPM,0.794,0.317,2012
AMC,Dec 18,AMC Entertainment Holdings Inc,Consumer-Services,18.0,18,BAML,BAML,,0.815,0.05,2013
HLT,Dec 12,Hilton Worldwide Holdings Inc,Consumer-Services,20.0,117,BAML,DB,GS,0.201,2.225,2013
ARMK,Dec 12,Aramark,Consumer-Services,20.0,36,CS,GS,JPM,0.474,0.135,2013
ATHM,Dec 12,Autohome Inc,Technology,17.0,7,DB,GS,,1.251,0.769,2013
XNCR,Dec 3,Xencor Inc,Health-Care,5.5,12,CS,LRNK,,0.147,0.516,2013
IPWR,Nov 22,Ideal Power Inc,Energy,5.0,3,MDBC,,,0.08,0.07,2013
VNCE,Nov 22,Vince Holding Corp,Consumer-Services,20.0,10,GS,RWB,,0.11900000000000001,13.33,2013
NVGS,Nov 21,Navigator Holdings Ltd,Transportation,19.0,12,JEFF,MS,,0.722,0.053,2013
EVGN,Nov 21,Evogene Ltd,Basic-Industries,14.8,5,CS,DB,,0.26899999999999996,0.168,2013
TNDM,Nov 14,Tandem Diabetes Care Inc,Health-Care,15.0,8,BAML,PPRJ,,0.05,11.84,2013
DLNG,Nov 13,Dynagas LNG Partners LP,Consumer-Services,18.0,12,CS,,,0.564,0.0,2013
CHGG,Nov 13,Chegg Inc,Consumer-Services,12.5,15,BAML,JPM,,1.15,-0.226,2013
NMIH,Nov 8,NMI Holdings Inc,Finance,13.0,2,FBR,,,0.738,0.077,2013
LGIH,Nov 7,LGI Homes Inc,Capital-Goods,11.0,9,DB,JPM,JMPS,0.28600000000000003,0.17300000000000001,2013
TWTR,Nov 7,Twitter Inc,Technology,26.0,70,GS,JPM,MS,1.681,0.727,2013
WIX,Nov 6,Wix com Ltd,Technology,16.5,7,BAML,JPM,RBC,1.442,-0.012,2013
KPTI,Nov 6,Karyopharm Therapeutics Inc,Health-Care,16.0,6,BAML,LRNK,MS,0.875,0.003,2013
ESNT,Oct 31,Essent Group Ltd,Finance,17.0,19,BRCL,GS,JPM,0.813,0.235,2013
MMI,Oct 31,Marcus & Millichap Inc,Finance,12.0,6,CITI,GS,,0.42200000000000004,0.11800000000000001,2013
VCYT,Oct 30,Veracyte Inc,Health-Care,13.0,5,LRNK,MS,,0.919,0.019,2013
BRX,Oct 30,Brixmor Property Group Inc,Consumer-Services,20.0,41,BAML,CITI,JPM,0.586,0.02,2013
CRTO,Oct 30,Criteo S A,Technology,31.0,8,DB,JPM,JEFF,1.1440000000000001,0.142,2013
COMM,Oct 25,CommScope Holding Company Inc,Technology,15.0,38,BAML,DB,JPM,0.569,-0.001,2013
SRLP,Oct 25,Sprague Resources LP,Energy,18.0,8,BRCL,BAML,JPM,0.696,-0.013999999999999999,2013
AERI,Oct 25,Aerie Pharmaceuticals Inc,Health-Care,10.0,6,RBC,Stifel,,0.39899999999999997,0.061,2013
VJET,Oct 18,voxeljet AG,Capital-Goods,13.0,6,CITI,PPRJ,,1.8940000000000001,1.215,2013
VEEV,Oct 16,Veeva Systems Inc,Technology,20.0,13,DB,MS,,1.07,0.858,2013
MGNX,Oct 10,MacroGenics Inc,Health-Care,16.0,5,BAML,LRNK,,1.072,0.562,2013
AR,Oct 10,Antero Resources Corporation,Energy,44.0,35,BRCL,CITI,JPM,0.8190000000000001,0.182,2013
PBPB,Oct 4,Potbelly Corporation,Consumer-Services,14.0,7,BAML,GS,,2.265,1.198,2013
CHMI,Oct 4,Cherry Hill Mortgage Investment Corporation,Consumer-Services,20.0,6,BRCL,CITI,MS,0.851,-0.075,2013
BURL,Oct 2,Burlington Stores Inc,Consumer-Services,17.0,13,BAML,JPM,MS,1.125,0.47100000000000003,2013
RMAX,Oct 2,RE MAX Holdings Inc,Finance,22.0,10,BAML,JPM,MS,1.3840000000000001,0.22699999999999998,2013
FATE,Oct 1,Fate Therapeutics Inc,Health-Care,6.0,6,BMO,COWN,,0.312,0.10300000000000001,2013
RNG,Sep 27,Ringcentral Inc,Technology,13.0,7,BAML,GS,JPM,1.084,0.4,2013
PINC,Sep 26,Premier Inc,Consumer-Services,27.0,28,BAML,JPM,WLFG,0.6759999999999999,0.135,2013
AAOI,Sep 26,Applied Optoelectronics Inc,Technology,10.0,3,PPRJ,RAYJ,,0.264,-0.004,2013
EVOK,Sep 25,Evoke Pharma Inc,Health-Care,12.0,2,AGIS,,,0.35600000000000004,-0.022000000000000002,2013
BNFT,Sep 18,Benefitfocus Inc,Technology,26.5,4,DB,GS,JEFF,1.255,1.021,2013
GLG,Aug 13,TD Holdings Inc.,Finance,6.5,1,AXOM,BNHM,,0.23800000000000002,-0.017,2013
MIXT,Aug 9,MiX Telematics Limited,Technology,16.0,6,RAYJ,WB,,0.605,0.133,2013
